Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2019-07-09 06:21:18 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
